R,fem_element_size_mm,fem_q4_elements,relative_l2_error,compressive_peak_ratio,normalized_momentum_error,impulse_balance_kg_m_s
0.5,0.25,1008,0.19497622044242732,1.3263742913915735,1.1481382890604723e-14,1.6263032587282567e-19
1.0,0.5,252,0.20557104872157542,1.2748735375531188,1.1815144021123039e-14,1.6263032587282567e-19
2.0,1.0,63,0.21437978768503949,1.1849029228251886,1.2682922962363274e-14,1.0842021724855044e-19
3.0,1.5,28,0.23110209214681757,1.1443552395433685,1.3417198449757721e-14,5.421010862427522e-20
